,input_words,predicted_label,gold_label
0,"['25', 'Came', 'here', 'for', 'Macaron', 'Day', 'and', 'ended', 'up', 'buying', 'half', 'a', 'dozen', 'more', 'besides', 'the', 'free', 'one', 'I', 'got', 'It', 'wasnt', 'until', 'we', 'went', 'elsewhere', 'that', 'we', 'realized', 'that', 'was', 'a', 'bit', 'of', 'a', 'mistake', 'Dont', 'get', 'me', 'wrong', 'they', 'tasted', 'good', 'But', 'they', 'were', 'small', 'expensive', '235', 'each', 'and', 'not', 'as', 'good', 'as', 'many', 'other', 'bakeries', 'Ive', 'tried', 'Maybe', 'Im', 'spoiled', 'from', 'living', 'right', 'by', 'Patisserie', '27', 'but', 'I', 'definitely', 'wished', 'Id', 'picked', 'up', 'more', 'at', 'places', 'besides', 'here', 'The', 'store', 'was', 'nice', 'the', 'staff', 'friendly', 'and', 'the', 'cake', 'samples', 'looked', 'pretty', 'cool', 'I', 'imagine', 'actual', 'cakes', 'are', 'their', 'specialty', 'so', 'I', 'wouldnt', 'judge', 'them', 'too', 'harshly', 'on', 'this', 'experience']",1,2
1,"['I', 'thought', 'this', 'was', 'a', 'thrift', 'shop', 'Well', 'I', 'gagged', 'at', 'their', 'pricesno', 'thanks', 'and', 'no', 'way']",1,0
2,"['Can', 'see', 'why', 'the', 'star', 'rating', 'is', 'not', 'as', 'high', 'as', 'I', 'expected', 'Im', 'currently', 'in', 'the', 'restaurant', 'now', 'Dont', 'feel', 'British', 'English', 'at', 'all', 'They', 'play', 'American', 'pop', 'here', 'Customer', 'service', 'food', 'The', 'lady', 'approached', 'us', 'pouring', 'water', 'with', 'no', 'greeting', 'We', 'asked', 'about', 'the', 'Happy', 'Hour', 'info', 'she', 'kept', 'flipping', 'the', 'menu', 'we', 'were', 'reading', 'then', 'disappeared', 'and', 'came', 'back', 'with', 'the', 'page', 'opened', 'Our', 'waiter', 'came', 'with', 'no', 'intro', 'instead', 'just', 'asked', 'us', 'if', 'we', 'had', 'any', 'questions', 'or', 'not', 'Then', 'we', 'ordered', 'the', 'Shepherds', 'Pie', 'the', 'Steak', 'Ale', 'Pie', 'and', 'happy', 'hour', 'Truffle', 'Chips', 'Food', 'came', 'within', '5', 'minutes', 'Thats', 'impressively', 'fast', 'for', 'starving', 'people', 'Food', 'tasted', 'very', 'good', 'We', '2', 'persons', 'did', 'the', 'Yelp', 'checkin', 'with', 'a', 'free', 'sticky', 'toffee', 'pudding', 'The', 'waiter', 'brought', 'in', '1', 'portion', 'only', 'After', 'he', 'checked', 'with', 'his', 'colleague', 'He', 'came', 'back', 'and', 'said', 'they', 'offered', '1', 'per', 'table', 'Thats', 'ok', 'but', 'hope', 'they', 'indicate', 'this', 'restriction', 'on', 'the', 'redeem', 'page', 'Never', 'knew', 'his', 'name', 'until', 'persons', 'seated', 'next', 'to', 'us', 'As', 'he', 'did', 'a', 'full', 'introduction', 'to', 'them', 'with', 'recommendations', 'We', 'found', 'funny', 'that', 'a', 'waiter', 'mentioned', 'to', 'the', 'customers', 'that', 'certain', 'dishes', 'he', 'did', 'not', 'suggest', 'as', 'they', 'werent', 'his', 'favourite', 'Lol', 'I', 'definitely', 'wont', 'return', 'to', 'this', 'restaurant', 'especially', 'after', 'the', 'dining', 'experiences', 'in', 'Gordon', 'Ramsay', 'Steak', 'and', 'the', 'Fish', 'Chips', 'one', 'Btw', 'Im', 'a', 'huge', 'fan', 'of', 'Gordon', 'Ramsays']",0,2
3,"['Went', 'there', 'yesterday', 'with', 'my', 'sister', 'and', 'ordered', 'the', 'chicken', 'bowl', 'and', 'it', 'tasted', 'really', 'bad', 'Thats', 'the', 'only', 'thing', 'I', 'order', 'when', 'I', 'enter', 'Chipotle', 'restaurants', 'Will', 'not', 'be', 'going', 'back', 'to', 'this', 'one']",1,0
4,"['Love', 'the', 'live', 'music', 'and', 'decor', '20', 'for', 'a', 'beer', 'and', 'grilled', 'cheese', 'is', 'a', 'bit', 'much', 'in', 'my', 'opinion']",0,2
5,"['Food', '35', 'Service', '35', 'Cleanliness', '35', '3', 'Stars', 'meaning', 'that', 'its', 'just', 'pho', 'Nothing', 'crazy', 'but', 'not', 'bad', 'at', 'all', 'The', 'place', 'is', 'clean', 'and', 'looks', 'great', 'A', 'good', 'place', 'to', 'stop', 'by', 'if', 'youre', 'wanting', 'some', 'pho', 'or', 'hu', 'tieu', 'Other', 'than', 'that', 'expect', 'nothing', 'but', 'satisfaction', 'and', 'good', 'pho']",1,2
6,"['The', 'food', 'is', 'hit', 'or', 'miss', 'the', 'service', 'is', 'pretty', 'much', 'miss', 'The', 'family', 'decided', 'to', 'check', 'this', 'place', 'out', 'on', 'a', 'Friday', 'evening', 'based', 'on', 'a', 'recommendation', 'of', 'my', 'wifes', 'coworker', 'The', 'Rick', 'Bayless', 'Everyday', 'Mexican', 'cookbook', 'holds', 'an', 'esteemed', 'spot', 'in', 'the', 'kitchen', 'so', 'Ill', 'admit', 'I', 'set', 'the', 'bar', 'pretty', 'high', 'when', 'evaluating', 'this', 'style', 'of', 'cuisine', 'We', 'arrived', 'at', '5', 'pm', 'and', 'our', 'server', 'promptly', 'took', 'our', 'drink', 'order', 'but', 'things', 'started', 'to', 'slow', 'down', 'Despite', 'having', 'three', 'servers', 'working', 'five', 'tables', 'it', 'took', 'about', '15', 'minutes', 'to', 'get', 'our', 'drinks', 'and', 'a', 'small', 'complimentary', 'basket', 'of', 'chips', 'Did', 'I', 'mention', 'that', 'the', 'basket', 'of', 'chip', 'was', 'small', 'Our', 'party', 'of', 'four', 'devoured', 'them', 'in', 'three', 'minutes', 'but', 'no', 'one', 'came', 'by', 'to', 'ask', 'us', 'if', 'we', 'wanted', 'more', 'It', 'should', 'be', 'noted', 'that', 'the', 'first', 'basket', 'of', 'chips', 'was', 'free', 'after', 'that', 'youll', 'be', 'charged', '2', 'for', 'a', 'bottomless', 'supply', 'The', 'chips', 'were', 'the', 'star', 'of', 'the', 'evening', 'Hot', 'fresh', 'with', 'plenty', 'of', 'crunch', 'I', 'would', 'make', 'the', 'trip', 'to', 'the', 'west', 'side', 'just', 'to', 'get', 'another', 'fix', 'The', 'consistency', 'of', 'the', 'salsa', 'verde', 'was', 'a', 'disappointment', 'It', 'was', 'far', 'too', 'watery', 'making', 'it', 'difficult', 'to', 'get', 'the', 'right', 'balance', 'of', 'salsa', 'and', 'chip', 'I', 'also', 'enjoyed', 'the', 'Quesadillas', 'de', 'Rajas', 'y', 'Queso', 'we', 'ordered', 'as', 'an', 'appetizer', 'The', 'corn', 'masa', 'coating', 'was', 'cooked', 'to', 'perfection', 'but', 'I', 'would', 'have', 'preferred', 'a', 'Mexican', 'cheese', 'over', 'the', 'mozzarella', 'used', 'as', 'the', 'filling', 'The', 'roasted', 'poblanos', 'were', 'excellent', 'and', 'a', 'small', 'serving', 'of', 'crema', 'was', 'a', 'welcome', 'addition', 'to', 'the', 'dish', 'After', 'a', 'long', 'wait', 'about', '20', 'minutes', 'and', 'only', 'one', 'refill', 'of', 'our', 'basket', 'of', 'chips', 'we', 'received', 'the', 'entrees', 'I', 'ordered', 'one', 'of', 'the', 'specials', 'a', 'beef', 'barbacoa', 'based', 'on', 'the', 'recommendation', 'of', 'the', 'server', 'The', 'beef', 'was', 'tender', 'but', 'a', 'little', 'under', 'seasoned', 'The', 'dish', 'was', 'overpowered', 'by', 'a', 'pile', 'of', 'raw', 'onions', 'that', 'topped', 'the', 'beef', 'I', 'like', 'onions', 'but', 'these', 'gave', 'the', 'dish', 'a', 'sulphery', 'aftertaste', 'The', 'sides', 'also', 'were', 'disappointing', 'the', 'refried', 'beans', 'were', 'overcooked', 'and', 'lacked', 'texture', 'the', 'Mexican', 'rice', 'was', 'mushy', 'and', 'bland', 'With', 'the', 'little', 'more', 'focus', 'on', 'the', 'details', 'this', 'could', 'have', 'been', 'a', 'great', 'meal', 'The', 'kids', 'ordered', 'cheese', 'enchiladas', 'and', 'chicken', 'enchiladas', 'The', 'salsa', 'verde', 'lacked', 'punch', 'The', 'tomatillos', 'really', 'needed', 'to', 'be', 'roasted', 'longer', 'to', 'give', 'the', 'green', 'sauce', 'more', 'depth', 'The', 'chicken', 'was', 'well', 'cooked', 'but', 'under', 'seasoned', 'and', 'I', 'was', 'frustrated', 'with', 'the', 'the', 'use', 'of', 'mozzarella', 'as', 'the', 'filling', 'for', 'the', 'cheese', 'enchiladas', 'There', 'are', 'some', 'great', 'Mexican', 'melting', 'cheeses', 'that', 'could', 'have', 'vastly', 'improved', 'this', 'dish', 'After', 'another', 'long', 'wait', 'we', 'finally', 'received', 'the', 'bill', 'which', 'totaled', '65', 'before', 'tip', 'for', 'our', 'group', 'of', 'four', 'The', 'meal', 'cost', 'was', 'reasonable', 'but', 'I', 'cant', 'really', 'recommend', 'La', 'Mestiza', 'given', 'the', 'below', 'quality', 'of', 'the', 'food', 'and', 'service', 'I', 'experienced']",0,1
7,"['Dave', 'and', 'Busters', 'you', 'disappoint', 'me', 'once', 'again', 'Every', 'time', 'Ive', 'come', 'here', 'its', 'something', 'Youre', 'packed', 'are', 'you', 'really', 'hurting', 'for', 'money', 'I', 'know', 'running', 'a', 'restaurant', 'can', 'be', 'expensive', 'but', 'THIS', 'is', 'America', 'We', 'comp', 'incorrect', 'orders', 'here', 'I', 'ordered', 'a', 'burger', 'plain', 'no', 'cheese', 'and', 'it', 'came', 'with', 'double', 'cheese', 'then', 'Im', 'told', 'were', 'gonna', 'get', 'that', 'taken', 'off', 'the', 'bill', 'for', 'you', 'and', 'bring', 'you', 'the', 'RIGHT', 'order', 'So', 'they', 'do', 'EXCEPT', 'its', 'a', 'rush', 'order', 'so', 'its', 'medium', 'rare', 'and', 'NOT', 'well', 'done', 'like', 'I', 'ordered', 'Another', 'burger', 'comes', 'out', 'NOT', 'MY', 'FAULT', 'and', 'they', 'drop', 'it', 'off', 'to', 'me', 'explaining', 'the', 'one', 'prior', 'to', 'that', 'is', 'a', 'rush', 'order', 'the', 'next', 'one', 'was', 'more', 'done', 'than', 'the', 'first', 'Its', 'my', 'understanding', 'theyre', 'correcting', 'their', 'mistakes', 'Multiple', 'The', 'mng', 'in', 'training', 'and', 'waitress', 'come', 'over', 'to', 'me', 'and', 'say', 'I', 'can', 'have', 'the', 'extra', 'burger', 'if', 'I', 'want', 'That', 'to', 'me', 'means', 'FREE', 'I', 'wouldnt', 'have', 'taken', 'it', 'if', 'they', 'didnt', 'say', 'I', 'could', 'have', 'the', '2nd', 'one', 'I', 'know', 'I', 'have', 'any', 'food', 'I', 'want', 'but', 'the', 'restaurant', 'ONLY', 'mentions', 'it', 'explicitly', 'if', 'its', 'meant', 'to', 'be', 'complimentary', 'They', 'TOLD', 'ME', 'it', 'was', 'THEIR', 'mistake', 'for', 'bringing', '2', 'The', 'waitress', 'told', 'me', 'I', 'wasnt', 'charged', 'for', 'the', 'messed', 'up', 'burger', 'or', 'the', '3rd', 'final', 'one', 'but', 'for', 'the', '2nd', 'replacement', 'one', 'WHICH', 'WAS', 'THE', 'ONE', 'THEY', 'WERE', 'TAKING', 'OFFFFF', 'for', 'the', 'mistake', 'duh', 'Im', 'NOT', 'trying', 'to', 'get', 'free', 'food', 'just', 'trying', 'to', 'get', 'them', 'to', 'keep', 'their', 'word', 'If', 'they', 'did', 'it', 'right', 'the', 'FIRST', 'time', 'Id', 'obviously', 'pay', 'for', 'it', 'Smh']",0,1
8,"['Ok', 'nothing', 'fancy', 'here', 'As', 'you', 'stagger', 'your', 'way', 'around', 'party', 'central', 'in', 'this', 'Galleria', 'area', 'of', 'Old', 'Town', 'Scottsdale', 'this', 'place', 'is', 'a', 'saving', 'grace', 'in', 'alcohol', 'absorbsion', 'It', 'even', 'has', 'a', 'patio', 'that', 'is', 'the', 'perfect', 'perch', 'to', 'watch', 'idiot', 'after', 'drunken', 'idiot', 'walk', 'by', 'Then', 'every', '20', 'something', 'year', 'old', 'scantily', 'dressed', 'that', 'thinks', 'shes', 'the', 'bomb', 'No', 'job', 'lives', 'at', 'home', 'and', 'mom', 'and', 'dad', 'pay', 'for', 'her', 'car', 'Funny', 'stuff', 'Dont', 'forget', 'the', 'older', 'guy', 'with', 'nice', 'car', 'and', 'no', 'personality', 'That', 'is', 'the', 'only', 'way', 'he', 'can', 'score', 'Good', 'thing', 'you', 'made', 'a', 'few', 'bucks', 'eh', 'Back', 'to', 'pizza', 'You', 'can', 'buy', 'by', 'the', 'slice', 'They', 'usually', 'have', '5', 'or', '6', 'different', 'selections', 'and', 'the', 'slices', 'are', 'huge', 'After', 'throwing', 'a', 'few', 'back', 'this', 'is', 'a', 'great', 'addition', 'to', 'set', 'your', 'body', 'back', 'on', 'course', 'It', 'is', 'all', 'counter', 'service', 'here', 'No', 'frills', 'What', 'No', 'frills', 'in', 'Scottsdale', 'unheard', 'of', 'Come', 'check', 'them', 'out', 'It', 'is', 'a', 'good', 'slice', 'to', 'keep', 'you', 'going', 'You', 'know', 'like', 'Wheaties', 'irishcatv2', 'vinosquared', 'vino2', 'vino2ultimate', 'scottsdale', 'rebelfoodandwine', 'gussnypizza']",1,2
9,"['a', 'recent', 'weekend', 'dinner', 'found', 'the', 'place', 'almost', 'empty', 'at', '7pm', 'maybe', '4', 'tables', 'we', 'were', 'seated', 'promptly', 'nice', 'high', 'ceilinged', 'room', 'after', 'we', 'had', 'perused', 'the', 'menu', 'for', 'awhile', 'made', 'our', 'choices', 'our', 'waitress', 'THEN', 'proceeded', 'to', 'tell', 'us', 'what', 'the', 'kitchen', 'was', 'out', 'of', 'and', 'what', 'the', 'specials', 'were', 'we', 'ordered', 'wine', 'which', 'upon', 'tasting', 'was', 'so', 'full', 'of', 'sediment', 'it', 'was', 'undrinkable', 'while', 'she', 'looked', 'on', 'blankly', 'we', 'suggested', 'a', 'decanter', 'she', 'brought', 'one', 'back', 'and', 'whisked', 'away', 'the', 'first', 'glass', 'the', 'wine', 'once', 'the', 'sediment', 'was', 'gone', 'was', 'good', 'there', 'were', 'bread', 'plates', 'on', 'the', 'table', 'but', 'we', 'had', 'to', 'ask', 'for', 'bread', 'the', 'food', 'was', 'different', 'and', 'tasty', 'while', 'my', 'tofu', 'could', 'have', 'had', 'more', 'flavor', 'the', 'dish', 'accompaniments', 'made', 'up', 'for', 'it']",0,2
