,input_words,predicted_label,gold_label
0,"['We', 'started', 'with', 'the', 'tacos', 'that', 'were', 'tiny', 'and', 'just', 'average', 'in', 'flavor', 'I', 'had', 'the', 'shrimp', 'poboy', 'and', 'it', 'was', 'ok', 'my', 'friend', 'had', 'a', 'steak', 'wrap', 'that', 'ended', 'up', 'being', 'steak', 'umms', 'not', 'good', 'at', 'all', 'Probably', 'wont', 'be', 'going', 'back', 'It', 'was', 'disappointing', 'at', 'best']",1,1
1,"['Only', 'water', 'and', 'ice', 'with', 'some', 'fruit', 'mix', 'as', 'told', 'by', 'the', 'employee', 'behind', 'the', 'front', 'desk', 'yeah', 'Next', 'time', 'Jamba', 'Juice']",1,1
2,"['My', 'family', 'I', 'stayed', 'there', 'this', 'past', 'weekend', 'and', 'was', 'disappointed', 'I', 'had', 'stayed', 'here', 'in', 'the', 'past', 'but', 'this', 'time', 'was', 'the', 'worse', 'The', 'main', 'lobby', 'exterior', 'front', 'end', 'of', 'the', 'hotel', 'is', 'very', 'nice', 'but', 'not', 'the', 'entire', 'location', 'Our', 'room', 'was', 'decent', 'Bldg', '21', 'When', 'we', 'pulled', 'there', 'were', 'some', 'suspicious', 'people', 'standing', 'outside', 'The', 'walk', 'ways', 'smelled', 'all', 'like', 'marijuana', 'cigarettes', 'The', 'furniture', 'is', 'out', 'dated', 'you', 'sink', 'in', 'when', 'you', 'sit', 'on', 'the', 'couch', 'loveseat', 'Our', 'double', 'beds', 'were', 'the', 'worse', 'They', 'were', 'old', 'you', 'deeped', 'in', 'the', 'center', 'They', 'made', 'so', 'much', 'squeaking', 'noises', 'everytime', 'you', 'turned', 'around', 'Our', 'shower', 'tub', 'had', 'peeling', 'paint', 'We', 'literally', 'had', 'to', 'turn', 'the', 'shower', 'on', '1', 'hour', 'before', 'we', 'were', 'going', 'to', 'use', 'it', 'because', 'the', 'water', 'was', 'scalding', 'hot', 'It', 'took', 'that', 'long', 'just', 'to', 'get', 'cool', 'water', 'Not', 'even', 'cold', 'water', 'to', 'take', 'a', 'cold', 'shower', 'on', 'a', 'hot', 'day', 'I', 'will', 'not', 'be', 'staying', 'here', 'again']",1,1
3,"['Very', 'disappointed', '12', 'Kabuli', 'gave', 'us', 'two', 'very', 'tiny', 'pieces', 'of', 'lamb', 'in', 'the', 'pile', 'of', 'rice', 'and', 'even', 'then', 'the', 'lamb', 'was', 'dried', 'up', 'and', 'tough', '10', 'chicken', 'tikka', 'gave', '6', 'of', 'the', 'smallest', 'pieces', 'of', 'chicken', 'tikka', 'I', 'have', 'ever', 'seen', 'in', 'my', 'life', 'They', 'charge', 'average', 'price', 'but', 'you', 'get', 'way', 'less', 'meat', 'then', 'what', 'you', 'pay', 'for', 'or', 'other', 'restaurants', 'provide', 'Also', 'it', 'gave', 'me', 'a', 'stomach', 'ache', 'all', 'night', 'I', 'would', 'not', 'recommend', 'you', 'waste', 'your', 'money', 'here', 'Not', 'a', 'good', 'way', 'for', 'a', 'restaurant', 'to', 'start', 'a', 'new', 'business', 'You', 'have', 'lost', 'a', 'customer']",0,0
4,"['I', 'just', 'got', 'my', 'snow', 'tires', 'installed', 'What', 'a', 'nightmare', 'The', 'worst', 'people', 'you', 'could', 'deal', 'with', 'Patrick', 'was', 'my', 'sales', 'guy', 'A', 'complete', 'liar', 'We', 'agreed', 'on', 'a', 'price', 'balance', 'install', 'sensors', 'everything', 'More', 'expensive', 'than', 'costco', 'or', 'canadian', 'tire', 'but', 'was', 'willing', 'to', 'do', 'it', 'because', 'he', 'said', 'next', 'day', 'at', '1100', 'Showed', 'up', 'at', 'the', 'shop', 'and', 'was', 'shocked', 'to', 'hear', 'that', 'I', 'would', 'have', 'to', 'wait', '6', 'hours', 'Wtf', 'Who', 'has', 'time', 'like', 'that', 'Asked', 'for', 'a', 'return', 'on', 'my', 'deposit', 'no', 'luck', 'Ok', 'rescheduled', 'for', '2', 'days', 'later', 'Same', 'crap', '4', 'hour', 'wait', 'To', 'my', 'surprise', 'when', 'we', 'went', 'to', 'pay', 'there', 'was', 'a', '70', 'increase', 'No', 'explanation', 'Told', 'me', 'they', 'would', 'do', 'a', 'free', 'swap', 'in', 'the', 'spring', 'Costco', 'does', 'those', 'free', 'every', 'season', 'Also', 'they', 'have', 'no', 'parking', 'An', 'older', 'man', 'came', 'in', 'to', 'get', 'tires', 'and', 'one', 'of', 'the', 'Guyanese', 'ignorant', 'workers', 'used', 'curse', 'words', 'at', 'him', 'in', 'front', 'of', '10', 'other', 'clients', 'to', 'move', 'his', 'car', 'The', 'poor', 'man', 'was', 'so', 'sad', 'They', 'are', 'the', 'worst', 'bunch', 'of', 'rude', 'lying', 'crappy', 'tire', 'place', 'Im', 'surprised', 'they', 'are', 'still', 'in', 'business', 'with', 'so', 'much', 'competition', 'I', 'run', 'a', 'business', 'and', 'would', 'not', 'dream', 'of', 'treating', 'my', 'clients', 'this', 'way', 'Buy', 'your', 'tires', 'elsewhere', 'Trust', 'me', 'youll', 'be', 'happier']",0,0
5,"['Im', 'just', 'wondering', 'if', 'it', 'is', 'mandatory', 'that', 'you', 'must', 'be', 'rude', 'in', 'order', 'to', 'work', 'here', 'I', 'was', 'waiting', 'for', 'the', 'office', 'to', 'open', 'an', 'employee', 'told', 'me', 'that', 'they', 'did', 'not', 'open', 'until', '7', 'it', 'was', '0650', 'then', 'asked', 'if', 'I', 'had', 'an', 'appointment', 'when', 'I', 'told', 'her', 'that', 'I', 'did', 'not', 'she', 'said', 'Were', 'appointment', 'only', 'when', 'I', 'then', 'stated', 'that', 'I', 'was', 'having', 'difficulty', 'making', 'one', 'she', 'stated', 'Were', 'booked', '2', '4', 'weeks', 'out', 'while', 'walking', 'away', 'from', 'me', 'Would', 'it', 'have', 'been', 'too', 'complicated', 'to', 'state', 'If', 'youd', 'like', 'to', 'wait', 'until', 'we', 'open', 'at', '7', 'Ill', 'help', 'you', 'make', 'an', 'appointment', 'I', 'have', 'a', 'job', 'Im', 'not', 'available', 'to', 'run', 'around', 'all', 'day', 'location', 'to', 'location', 'hoping', 'to', 'luck', 'out', 'Sigh', 'Ridiculous']",0,0
6,"['My', 'first', 'time', 'there', 'and', 'really', 'got', 'excited', 'for', 'baba', 'ganoush', 'It', 'was', 'nothing', 'even', 'similar', 'to', 'what', 'its', 'supposed', 'to', 'be', 'Im', 'truly', 'offended', 'by', 'how', 'bad', 'it', 'was', 'Its', 'a', 'tiny', 'menu', 'theres', 'no', 'excuse', 'Baba', 'ganoush', 'is', 'charred', 'and', 'roasted', 'so', 'its', 'smoky', 'and', 'has', 'tahini', 'in', 'it', 'And', 'its', 'smooth', 'They', 'served', 'me', 'chunky', 'boiled', 'eggplant', 'with', 'no', 'tahini', 'and', 'no', 'flavor', 'It', 'was', 'awful', 'Im', 'not', 'the', 'only', 'customer', 'who', 'has', 'commented', 'on', 'how', 'bad', 'it', 'is', 'Guys', 'try', 'a', 'new', 'strategy', 'and', 'make', 'it', 'correctly', 'and', 'authentically', 'or', 'rename', 'it', 'cuz', 'what', 'you', 'served', 'me', 'is', 'not', 'even', 'close', 'So', 'gross']",0,0
7,"['Adding', 'to', 'a', 'previous', 'post', 're', 'party', 'of', '15', 'I', 'have', 'been', 'to', 'Swish', 'a', 'couple', 'of', 'times', 'and', 'had', 'a', 'positive', 'experience', 'so', 'I', 'decided', 'to', 'organize', 'one', 'of', 'my', 'best', 'friends', 'bday', 'dinner', 'there', 'and', 'reserved', 'a', 'table', 'for', '15', 'The', 'night', 'of', 'only', '13', 'people', 'had', 'shown', 'up', 'and', 'they', 'still', 'charged', 'us', 'for', '15', 'Perhaps', 'because', 'of', 'this', 'my', 'friends', 'were', 'unimpressed', 'with', 'the', 'food', 'and', 'the', 'unfriendly', 'attitude', 'from', 'the', 'waitress', 'made', 'it', 'worse', 'Everyone', 'left', 'that', 'night', 'with', 'a', 'bad', 'impression', 'of', 'the', 'restaurant', 'and', 'left', 'me', 'embarrassed', 'for', 'recommending', 'it']",1,1
8,"['I', 'love', 'MAC', 'Unfortunately', 'the', 'customer', 'service', 'is', 'terrible', 'here', 'Seems', 'like', 'most', 'of', 'the', 'workers', 'walk', 'around', 'acting', 'like', 'their', 'busy', 'I', 'was', 'waiting', 'for', '30', 'minutes', 'just', 'to', 'find', 'out', 'an', 'associate', 'helped', 'these', 'girls', 'out', 'that', 'walked', 'in', 'after', 'me', 'just', 'bc', 'he', 'knew', 'them', 'while', 'not', 'even', 'acknowledging', 'me', 'Go', 'to', 'nordstroms', 'or', 'Dillards', 'MAC', 'at', 'the', 'fashion', 'show', 'mall', 'At', 'least', 'youll', 'be', 'acknowledged']",0,0
9,"['I', 'went', 'here', 'for', 'lunch', 'on', 'Friday', 'with', 'a', 'friend', 'They', 'did', 'not', 'screw', 'up', 'my', 'order', 'but', 'my', 'friends', 'so', 'I', 'am', 'going', 'to', 'add', 'that', 'in', 'as', 'a', 'cumulative', 'review', 'The', 'place', 'is', 'clean', 'and', 'typical', 'korean', 'restaurant', 'with', 'banchan', 'The', 'kimchi', 'was', 'good', 'and', 'I', 'was', 'glad', 'they', 'had', 'the', 'potato', 'mayo', 'mash', 'Mhmm', 'because', 'some', 'places', 'dont', 'offer', 'it', 'I', 'ordered', 'their', 'spicy', 'pork', 'with', 'rice', 'and', 'my', 'friend', 'ordered', 'spicy', 'beef', 'soup', 'and', 'requested', 'to', 'have', 'it', 'without', 'egg', 'because', 'shes', 'slightly', 'allergic', 'Unfortunately', 'they', 'missed', 'a', 'bit', 'of', 'the', 'egg', 'white', 'so', 'she', 'noticed', 'it', 'and', 'told', 'them', 'For', 'mine', 'the', 'spicy', 'pork', 'was', 'not', 'gochujanged', 'enough', 'so', 'it', 'was', 'mild', 'for', 'my', 'taste', 'I', 'couldnt', 'order', 'my', 'regular', 'gamjatang', 'because', 'it', 'was', 'nice', 'weather', 'outside', 'and', 'ill', 'sweat', 'if', 'i', 'order', 'soup', 'Next', 'time', 'I', 'will', 'order', 'gamjatang', 'and', 'give', 'this', 'place', 'another', 'try']",1,1
10,"['The', 'food', 'tastes', 'wonderful', 'The', 'service', 'was', 'very', 'slow', 'Starters', 'delivered', 'with', 'the', 'meal', 'It', 'took', '30', 'minutes', 'plus', 'to', 'get', 'all', 'are', 'food', 'delivered', 'Employees', 'seem', 'uninterested', 'in', 'us', 'A', 'cricket', 'was', 'walking', 'on', 'the', 'dining', 'table', 'Employees', 'didnt', 'clean', 'table', 'after', 'the', 'cricket', 'problem', 'was', 'pointed', 'out']",1,1
